interaction_id,student1_id,student2_id,interaction_type,timestamp,duration_minutes,quality_rating,follow_up_needed,topic
INT0274,STU053,STU063,Conflict Resolution,2025-07-29 08:36:59.407471,116,6.4,True,Model Selection
INT0275,STU068,STU065,Code Review,2025-08-19 03:12:59.407601,40,5.5,True,Hyperparameter Tuning
INT0276,STU007,STU008,Help Request,2025-08-15 22:16:59.407726,74,4.5,False,Model Selection
INT0277,STU031,STU030,Planning Session,2025-08-18 18:31:59.407842,85,8.2,False,Code Debugging
INT0278,STU033,STU034,Code Review,2025-08-12 08:58:59.407957,88,7.1,True,Hyperparameter Tuning
INT0279,STU027,STU028,Knowledge Sharing,2025-08-08 09:13:59.408067,114,5.1,True,Documentation
INT0280,STU023,STU077,Code Review,2025-08-17 01:30:59.408081,118,5.1,False,Results Interpretation
INT0281,STU051,STU050,Collaboration,2025-08-17 19:49:59.408238,101,6.5,False,Model Selection
INT0282,STU047,STU046,Discussion,2025-08-09 07:47:59.408355,50,9.5,False,Results Interpretation
INT0283,STU038,STU037,Help Request,2025-07-27 08:17:59.408472,117,6.6,False,Code Debugging
INT0284,STU004,STU002,Collaboration,2025-07-25 20:43:59.408591,64,4.7,True,Hyperparameter Tuning
INT0285,STU032,STU031,Conflict Resolution,2025-08-08 00:14:59.408720,36,6.6,True,Results Interpretation
INT0286,STU019,STU020,Meeting,2025-07-24 12:11:59.408830,57,6.6,True,Hyperparameter Tuning
INT0287,STU040,STU038,Conflict Resolution,2025-08-15 15:50:59.408943,74,3.0,True,Documentation
INT0288,STU073,STU074,Help Request,2025-08-08 06:13:59.409058,102,6.9,False,Presentation Prep
INT0289,STU006,STU005,Help Request,2025-08-13 20:32:59.409169,73,6.7,True,Code Debugging
INT0290,STU024,STU011,Planning Session,2025-08-13 13:57:59.409183,55,8.0,True,Data Preprocessing
INT0291,STU026,STU027,Meeting,2025-08-09 08:00:59.409295,93,9.8,False,Project Planning
INT0292,STU064,STU061,Code Review,2025-08-07 03:22:59.409412,62,8.7,True,Code Debugging
INT0293,STU068,STU025,Code Review,2025-08-03 09:28:59.409426,108,6.6,True,Hyperparameter Tuning
INT0294,STU047,STU045,Discussion,2025-08-11 17:31:59.409533,54,5.3,True,Model Selection
INT0295,STU039,STU038,Planning Session,2025-07-31 17:30:59.409546,82,10.0,False,Project Planning
INT0296,STU018,STU044,Planning Session,2025-08-13 03:58:59.409557,118,7.1,False,Data Preprocessing
INT0297,STU018,STU019,Code Review,2025-08-05 17:58:59.409670,30,7.0,False,Data Preprocessing
INT0298,STU033,STU035,Code Review,2025-08-03 06:27:59.409778,17,7.0,True,Model Selection
INT0299,STU049,STU051,Collaboration,2025-08-08 11:59:59.409887,41,7.3,True,Results Interpretation
INT0300,STU015,STU016,Meeting,2025-08-11 06:36:59.410000,107,6.8,True,Results Interpretation
INT0301,STU016,STU013,Help Request,2025-07-31 01:15:59.410112,81,6.1,True,Code Debugging
INT0302,STU038,STU021,Code Review,2025-08-06 18:10:59.410125,41,6.2,False,Code Debugging
INT0303,STU001,STU004,Planning Session,2025-08-20 07:19:59.410237,80,7.0,True,Model Selection
INT0304,STU030,STU059,Collaboration,2025-08-15 20:05:59.410254,27,6.2,True,Data Preprocessing
INT0305,STU047,STU041,Knowledge Sharing,2025-08-01 07:02:59.410265,112,5.9,True,Data Preprocessing
INT0306,STU022,STU043,Conflict Resolution,2025-07-26 19:29:59.410281,49,7.2,True,Code Debugging
INT0307,STU024,STU015,Knowledge Sharing,2025-08-11 19:51:59.410291,64,6.6,False,Project Planning
INT0308,STU021,STU024,Code Review,2025-07-25 05:02:59.410405,68,9.3,False,Documentation
INT0309,STU051,STU052,Code Review,2025-07-27 12:12:59.410513,108,3.0,True,Documentation
INT0310,STU015,STU053,Planning Session,2025-08-23 07:52:59.410528,98,8.6,False,Data Preprocessing
INT0311,STU068,STU074,Help Request,2025-07-24 12:13:59.410539,58,8.9,True,Project Planning
INT0312,STU032,STU030,Knowledge Sharing,2025-08-19 16:11:59.410651,93,3.9,True,Data Preprocessing
INT0313,STU024,STU022,Meeting,2025-08-21 18:48:59.410759,45,6.5,False,Results Interpretation
INT0314,STU032,STU030,Help Request,2025-08-21 19:40:59.410871,117,6.4,False,Model Selection
INT0315,STU058,STU041,Discussion,2025-08-08 10:27:59.410884,17,4.9,True,Project Planning
INT0316,STU069,STU072,Collaboration,2025-07-26 17:33:59.410994,41,5.8,False,Code Debugging
INT0317,STU006,STU008,Conflict Resolution,2025-08-06 14:30:59.411108,75,5.3,False,Documentation
INT0318,STU029,STU030,Conflict Resolution,2025-07-28 13:17:59.411256,52,9.6,False,Model Selection
INT0319,STU024,STU021,Knowledge Sharing,2025-08-21 01:29:59.411377,40,8.4,True,Model Selection
INT0320,STU051,STU028,Planning Session,2025-07-29 03:23:59.411391,58,8.9,True,Project Planning
INT0321,STU073,STU074,Planning Session,2025-08-02 15:36:59.411502,32,8.1,False,Data Preprocessing
INT0322,STU008,STU007,Planning Session,2025-07-25 17:19:59.411613,37,5.3,True,Feature Engineering
INT0323,STU079,STU080,Knowledge Sharing,2025-08-10 14:10:59.411720,103,6.2,True,Results Interpretation
INT0324,STU043,STU042,Meeting,2025-08-19 20:30:59.411834,104,7.7,False,Presentation Prep
INT0325,STU071,STU028,Help Request,2025-08-17 14:23:59.411848,52,5.2,False,Feature Engineering
INT0326,STU023,STU065,Conflict Resolution,2025-08-02 06:20:59.411860,60,8.1,False,Project Planning
INT0327,STU071,STU070,Code Review,2025-08-08 07:07:59.411968,63,6.6,True,Data Preprocessing
INT0328,STU027,STU025,Collaboration,2025-08-03 01:59:59.412081,22,6.4,False,Hyperparameter Tuning
INT0329,STU005,STU046,Planning Session,2025-08-20 14:13:59.412094,101,8.1,True,Presentation Prep
INT0330,STU067,STU068,Code Review,2025-07-25 21:44:59.412199,68,7.7,False,Presentation Prep
INT0331,STU034,STU035,Planning Session,2025-07-29 02:10:59.412312,96,6.5,False,Presentation Prep
INT0332,STU026,STU025,Collaboration,2025-08-10 04:25:59.412325,24,8.7,True,Feature Engineering
INT0333,STU016,STU049,Code Review,2025-08-11 01:33:59.412336,48,5.4,True,Feature Engineering
INT0334,STU033,STU034,Planning Session,2025-08-02 06:06:59.412447,34,7.9,False,Data Preprocessing
INT0335,STU079,STU039,Planning Session,2025-07-29 15:33:59.412461,60,7.9,True,Code Debugging
INT0336,STU021,STU023,Meeting,2025-08-10 16:34:59.412568,66,6.5,True,Code Debugging
INT0337,STU027,STU026,Conflict Resolution,2025-08-15 03:20:59.412676,94,7.5,False,Presentation Prep
INT0338,STU002,STU015,Conflict Resolution,2025-08-10 02:11:59.412690,97,5.1,True,Data Preprocessing
INT0339,STU044,STU041,Knowledge Sharing,2025-08-15 16:22:59.412796,51,8.4,True,Presentation Prep
INT0340,STU048,STU066,Planning Session,2025-08-09 08:50:59.412809,98,6.7,True,Code Debugging
INT0341,STU014,STU015,Code Review,2025-08-04 07:55:59.412924,100,6.2,True,Project Planning
INT0342,STU027,STU069,Knowledge Sharing,2025-08-04 07:21:59.412939,102,8.6,True,Data Preprocessing
INT0343,STU041,STU044,Discussion,2025-08-23 04:18:59.413044,47,5.9,True,Hyperparameter Tuning
INT0344,STU053,STU050,Planning Session,2025-08-03 21:41:59.413057,55,4.9,True,Project Planning
INT0345,STU069,STU071,Discussion,2025-07-30 10:31:59.413167,20,4.7,True,Code Debugging
INT0346,STU014,STU038,Collaboration,2025-08-05 07:50:59.413180,112,7.9,False,Project Planning
INT0347,STU004,STU001,Help Request,2025-08-19 10:43:59.413286,116,5.1,False,Feature Engineering
INT0348,STU045,STU047,Meeting,2025-08-21 09:08:59.413398,88,9.6,False,Presentation Prep
INT0349,STU011,STU009,Conflict Resolution,2025-08-17 20:11:59.413504,97,3.9,True,Feature Engineering
INT0350,STU079,STU077,Discussion,2025-08-18 12:17:59.413611,87,9.5,True,Presentation Prep
INT0351,STU069,STU070,Discussion,2025-08-16 06:56:59.413723,107,7.3,False,Code Debugging
INT0352,STU029,STU030,Discussion,2025-07-27 03:48:59.413830,77,6.9,False,Code Debugging
INT0353,STU038,STU039,Conflict Resolution,2025-07-29 23:41:59.413935,36,6.2,True,Code Debugging
INT0354,STU032,STU030,Conflict Resolution,2025-08-19 12:22:59.414047,57,7.6,False,Documentation
INT0355,STU040,STU039,Discussion,2025-08-18 13:30:59.414153,25,6.9,False,Feature Engineering
INT0356,STU026,STU034,Discussion,2025-08-01 07:11:59.414169,17,8.7,True,Project Planning
INT0357,STU028,STU005,Collaboration,2025-08-06 16:38:59.414181,98,7.2,True,Code Debugging
INT0358,STU075,STU073,Planning Session,2025-08-07 18:03:59.414292,65,7.2,False,Presentation Prep
INT0359,STU030,STU031,Meeting,2025-08-10 04:57:59.414403,87,6.5,True,Documentation
INT0360,STU006,STU029,Planning Session,2025-08-17 07:52:59.414419,62,6.9,True,Data Preprocessing
INT0361,STU067,STU066,Planning Session,2025-07-25 19:12:59.414523,20,7.5,True,Code Debugging
INT0362,STU067,STU068,Collaboration,2025-08-05 16:32:59.414635,37,4.4,False,Project Planning
INT0363,STU011,STU010,Help Request,2025-08-07 21:46:59.414740,119,5.0,False,Documentation
INT0364,STU078,STU001,Meeting,2025-08-10 04:54:59.414754,24,8.1,False,Hyperparameter Tuning
INT0365,STU023,STU024,Discussion,2025-08-03 02:42:59.414864,118,7.3,False,Model Selection
INT0366,STU064,STU061,Meeting,2025-08-03 21:07:59.414971,46,6.7,True,Feature Engineering
INT0367,STU022,STU023,Code Review,2025-07-26 15:59:59.415274,22,7.0,True,Results Interpretation
INT0368,STU067,STU052,Code Review,2025-07-26 10:22:59.415307,99,7.5,False,Model Selection
INT0369,STU080,STU078,Meeting,2025-08-16 20:30:59.415462,33,6.2,True,Presentation Prep
INT0370,STU044,STU043,Discussion,2025-08-16 21:44:59.415590,31,5.8,True,Data Preprocessing
INT0371,STU068,STU065,Discussion,2025-08-18 18:11:59.415707,93,7.3,True,Presentation Prep
INT0372,STU013,STU014,Meeting,2025-07-26 14:34:59.415828,120,5.5,True,Project Planning
INT0373,STU045,STU047,Knowledge Sharing,2025-08-16 18:18:59.415940,113,7.6,False,Code Debugging
INT0374,STU073,STU074,Meeting,2025-08-15 18:19:59.416054,44,4.4,True,Results Interpretation
INT0375,STU072,STU070,Help Request,2025-08-23 11:21:59.416165,116,8.5,True,Presentation Prep
INT0376,STU004,STU003,Help Request,2025-08-01 23:42:59.416284,61,7.7,True,Feature Engineering
INT0377,STU075,STU074,Knowledge Sharing,2025-08-05 22:29:59.416403,50,7.4,False,Hyperparameter Tuning
INT0378,STU072,STU069,Conflict Resolution,2025-08-06 16:38:59.416514,47,8.5,False,Code Debugging
INT0379,STU051,STU018,Discussion,2025-08-01 02:40:59.416530,115,9.5,True,Model Selection
INT0380,STU051,STU052,Code Review,2025-08-18 21:28:59.416647,15,8.5,True,Feature Engineering
INT0381,STU080,STU077,Discussion,2025-08-16 02:45:59.416770,25,4.2,True,Project Planning
INT0382,STU052,STU079,Collaboration,2025-08-01 15:05:59.416784,114,5.1,True,Documentation
INT0383,STU027,STU025,Code Review,2025-07-29 14:36:59.416920,81,6.1,True,Feature Engineering
INT0384,STU046,STU047,Code Review,2025-08-19 07:51:59.417030,114,7.0,False,Code Debugging
INT0385,STU050,STU051,Code Review,2025-07-31 12:04:59.417137,26,7.8,False,Presentation Prep
INT0386,STU045,STU036,Help Request,2025-08-05 03:39:59.417152,66,5.9,True,Results Interpretation
INT0387,STU065,STU067,Discussion,2025-08-08 00:47:59.417287,29,7.3,False,Presentation Prep
INT0388,STU074,STU033,Planning Session,2025-07-24 21:32:59.417301,76,5.9,True,Code Debugging
INT0389,STU059,STU076,Code Review,2025-08-09 06:52:59.417313,23,6.1,False,Hyperparameter Tuning
INT0390,STU031,STU030,Conflict Resolution,2025-08-07 17:08:59.417426,104,4.9,False,Hyperparameter Tuning
INT0391,STU051,STU049,Meeting,2025-08-08 23:46:59.417536,42,5.6,False,Feature Engineering
INT0392,STU025,STU064,Help Request,2025-08-16 10:53:59.417549,48,5.0,True,Hyperparameter Tuning
INT0393,STU031,STU029,Discussion,2025-08-21 07:25:59.417661,99,5.5,False,Data Preprocessing
INT0394,STU070,STU006,Planning Session,2025-08-12 14:48:59.417674,78,8.6,False,Documentation
INT0395,STU067,STU066,Help Request,2025-07-30 16:00:59.417786,21,5.6,False,Documentation
INT0396,STU005,STU065,Conflict Resolution,2025-08-11 12:19:59.417801,37,10.0,False,Model Selection
INT0397,STU059,STU060,Code Review,2025-08-23 12:55:59.417911,63,7.7,True,Code Debugging
INT0398,STU034,STU035,Collaboration,2025-08-17 01:38:59.418025,93,7.3,False,Code Debugging
INT0399,STU054,STU056,Conflict Resolution,2025-08-12 21:51:59.418133,72,5.7,True,Feature Engineering
INT0400,STU030,STU013,Collaboration,2025-07-30 02:33:59.418146,70,8.1,False,Hyperparameter Tuning
INT0401,STU020,STU017,Meeting,2025-08-10 19:00:59.418259,95,6.1,False,Documentation
INT0402,STU069,STU070,Discussion,2025-08-02 05:05:59.418367,42,7.2,False,Documentation
INT0403,STU013,STU058,Conflict Resolution,2025-08-15 22:45:59.418379,86,10.0,False,Code Debugging
INT0404,STU015,STU016,Help Request,2025-08-05 15:27:59.418493,98,6.9,True,Results Interpretation
INT0405,STU068,STU067,Planning Session,2025-07-27 07:44:59.418608,93,8.7,False,Documentation
INT0406,STU018,STU019,Conflict Resolution,2025-08-10 13:29:59.418724,88,5.9,False,Model Selection
INT0407,STU042,STU044,Conflict Resolution,2025-08-04 00:23:59.418937,49,6.9,False,Results Interpretation
INT0408,STU047,STU076,Planning Session,2025-08-11 04:57:59.418962,17,9.7,True,Hyperparameter Tuning
INT0409,STU010,STU009,Knowledge Sharing,2025-08-21 07:04:59.419121,75,6.1,True,Data Preprocessing
INT0410,STU068,STU011,Discussion,2025-08-15 14:59:59.419135,25,9.7,False,Results Interpretation
INT0411,STU040,STU039,Meeting,2025-08-19 17:15:59.419253,36,8.1,True,Data Preprocessing
INT0412,STU044,STU042,Collaboration,2025-08-06 20:00:59.419365,104,6.2,True,Documentation
INT0413,STU076,STU075,Collaboration,2025-07-25 22:38:59.419476,84,7.9,True,Model Selection
INT0414,STU048,STU046,Meeting,2025-08-15 10:08:59.419590,81,8.5,True,Code Debugging
INT0415,STU069,STU071,Planning Session,2025-07-24 18:49:59.419835,16,7.9,False,Results Interpretation
INT0416,STU003,STU001,Knowledge Sharing,2025-07-26 16:41:59.420110,65,4.6,True,Feature Engineering
INT0417,STU050,STU049,Help Request,2025-08-16 07:41:59.420130,95,5.9,True,Presentation Prep
INT0418,STU079,STU035,Collaboration,2025-08-03 10:34:59.420142,118,6.6,False,Project Planning
INT0419,STU010,STU009,Collaboration,2025-08-20 13:39:59.420272,94,6.9,False,Results Interpretation
INT0420,STU063,STU025,Conflict Resolution,2025-08-24 06:05:59.420285,83,7.9,True,Feature Engineering
INT0421,STU037,STU035,Meeting,2025-08-01 19:22:59.420296,16,7.3,True,Model Selection
INT0422,STU062,STU064,Knowledge Sharing,2025-08-14 18:45:59.420416,74,5.0,True,Code Debugging
INT0423,STU017,STU018,Knowledge Sharing,2025-08-21 16:38:59.420542,38,7.6,True,Results Interpretation
INT0424,STU002,STU016,Help Request,2025-08-11 19:53:59.420557,109,7.9,True,Hyperparameter Tuning
INT0425,STU014,STU016,Knowledge Sharing,2025-08-03 00:09:59.420684,56,7.8,True,Data Preprocessing
INT0426,STU071,STU067,Discussion,2025-08-15 18:28:59.420698,53,8.6,True,Code Debugging
INT0427,STU028,STU015,Help Request,2025-08-03 20:48:59.420709,16,8.3,True,Results Interpretation
INT0428,STU050,STU049,Code Review,2025-08-05 11:38:59.420821,103,7.7,True,Code Debugging
INT0429,STU032,STU021,Planning Session,2025-08-21 12:29:59.420834,58,6.9,True,Data Preprocessing
INT0430,STU017,STU020,Planning Session,2025-08-16 23:33:59.420949,115,4.5,False,Documentation
INT0431,STU003,STU049,Conflict Resolution,2025-08-01 05:52:59.420962,20,7.6,False,Documentation
INT0432,STU072,STU069,Meeting,2025-08-06 22:48:59.421073,108,7.3,False,Results Interpretation
INT0433,STU077,STU071,Meeting,2025-08-21 17:59:59.421087,72,7.4,False,Results Interpretation
INT0434,STU057,STU059,Knowledge Sharing,2025-08-01 04:12:59.421205,17,5.1,False,Hyperparameter Tuning
INT0435,STU012,STU009,Planning Session,2025-07-30 16:59:59.421322,93,5.4,False,Code Debugging
INT0436,STU041,STU044,Discussion,2025-08-23 05:57:59.421433,19,8.6,True,Model Selection
INT0437,STU013,STU015,Knowledge Sharing,2025-08-02 18:35:59.421538,94,6.9,False,Data Preprocessing
INT0438,STU077,STU080,Help Request,2025-08-03 18:09:59.421652,25,8.0,False,Data Preprocessing
INT0439,STU055,STU056,Code Review,2025-07-28 14:51:59.421759,82,7.0,True,Model Selection
INT0440,STU010,STU028,Discussion,2025-08-20 10:54:59.421772,83,7.0,False,Hyperparameter Tuning
INT0441,STU030,STU031,Knowledge Sharing,2025-08-01 06:19:59.421883,96,8.4,False,Documentation
INT0442,STU055,STU014,Meeting,2025-07-30 04:33:59.421895,66,6.2,False,Feature Engineering
INT0443,STU080,STU078,Conflict Resolution,2025-08-06 23:14:59.422004,62,7.1,False,Project Planning
INT0444,STU042,STU078,Help Request,2025-08-05 16:55:59.422017,63,6.3,False,Code Debugging
INT0445,STU058,STU051,Code Review,2025-08-01 08:50:59.422028,91,6.3,True,Presentation Prep
INT0446,STU037,STU038,Help Request,2025-08-18 00:07:59.422140,113,6.5,False,Presentation Prep
INT0447,STU074,STU073,Code Review,2025-08-09 22:59:59.422255,32,7.3,False,Code Debugging
INT0448,STU032,STU030,Collaboration,2025-07-30 01:03:59.422270,88,6.3,False,Hyperparameter Tuning
INT0449,STU042,STU062,Meeting,2025-08-08 11:24:59.422281,88,8.9,True,Results Interpretation
INT0450,STU076,STU073,Code Review,2025-07-25 23:46:59.422395,119,5.7,False,Project Planning
INT0451,STU016,STU030,Code Review,2025-08-03 13:44:59.422409,21,6.7,False,Presentation Prep
INT0452,STU070,STU072,Help Request,2025-08-20 08:25:59.422519,108,6.3,False,Documentation
INT0453,STU074,STU065,Discussion,2025-08-16 20:50:59.422532,115,9.2,False,Feature Engineering
INT0454,STU012,STU011,Code Review,2025-08-06 21:52:59.422659,25,7.3,False,Presentation Prep
INT0455,STU018,STU020,Help Request,2025-08-08 21:27:59.422777,88,8.5,True,Presentation Prep
INT0456,STU066,STU065,Discussion,2025-08-15 20:48:59.422899,102,4.8,True,Model Selection
INT0457,STU055,STU054,Help Request,2025-08-13 22:30:59.423010,98,7.4,True,Results Interpretation
INT0458,STU048,STU047,Meeting,2025-08-10 08:09:59.423132,119,8.3,True,Hyperparameter Tuning
INT0459,STU017,STU020,Code Review,2025-08-16 14:09:59.423244,33,7.1,False,Data Preprocessing
INT0460,STU015,STU014,Planning Session,2025-08-23 23:55:59.423352,109,8.6,True,Hyperparameter Tuning
INT0461,STU036,STU035,Meeting,2025-08-01 11:26:59.423458,17,6.2,False,Presentation Prep
INT0462,STU021,STU022,Help Request,2025-07-29 11:29:59.423571,49,9.1,True,Documentation
INT0463,STU001,STU002,Collaboration,2025-08-02 12:45:59.423683,28,10.0,True,Results Interpretation
INT0464,STU050,STU030,Knowledge Sharing,2025-08-07 12:02:59.423697,55,6.5,False,Presentation Prep
INT0465,STU028,STU027,Code Review,2025-08-23 02:09:59.423809,82,6.3,False,Code Debugging
INT0466,STU021,STU022,Conflict Resolution,2025-08-12 13:49:59.423917,45,9.2,False,Data Preprocessing
INT0467,STU049,STU051,Collaboration,2025-08-17 05:47:59.424034,65,9.4,True,Model Selection
INT0468,STU067,STU079,Help Request,2025-08-11 02:32:59.424047,34,6.2,False,Results Interpretation
INT0469,STU043,STU058,Meeting,2025-08-17 14:00:59.424059,89,6.4,True,Feature Engineering
INT0470,STU066,STU068,Meeting,2025-08-03 15:10:59.424172,35,6.6,False,Model Selection
INT0471,STU014,STU016,Meeting,2025-08-01 09:20:59.424280,55,5.0,False,Project Planning
INT0472,STU034,STU033,Discussion,2025-08-20 05:07:59.424392,112,5.6,False,Hyperparameter Tuning
INT0473,STU029,STU030,Discussion,2025-08-01 19:00:59.424504,79,5.5,False,Code Debugging
INT0474,STU052,STU050,Meeting,2025-08-19 03:54:59.424614,19,5.8,False,Data Preprocessing
INT0475,STU053,STU029,Help Request,2025-07-31 04:04:59.424627,37,6.9,False,Documentation
INT0476,STU058,STU060,Knowledge Sharing,2025-07-31 08:30:59.424738,109,7.4,False,Code Debugging
INT0477,STU073,STU075,Discussion,2025-08-09 19:16:59.424845,20,9.3,True,Presentation Prep
INT0478,STU008,STU007,Code Review,2025-08-18 00:40:59.424960,65,5.5,False,Results Interpretation
INT0479,STU055,STU056,Code Review,2025-08-01 17:11:59.425077,33,8.5,False,Documentation
INT0480,STU065,STU068,Meeting,2025-08-11 20:48:59.425186,72,6.7,True,Feature Engineering
INT0481,STU028,STU025,Collaboration,2025-08-13 11:27:59.425297,106,6.9,True,Model Selection
INT0482,STU059,STU057,Knowledge Sharing,2025-07-31 17:29:59.425403,35,8.0,False,Presentation Prep
INT0483,STU023,STU024,Meeting,2025-08-19 05:57:59.425518,113,5.3,True,Project Planning
INT0484,STU059,STU060,Meeting,2025-08-21 05:56:59.425625,15,7.6,False,Data Preprocessing
INT0485,STU061,STU063,Planning Session,2025-08-17 03:31:59.425731,99,7.2,False,Documentation
INT0486,STU009,STU012,Collaboration,2025-08-04 13:33:59.425843,119,7.7,True,Data Preprocessing
INT0487,STU007,STU005,Meeting,2025-07-28 08:26:59.425952,88,7.4,False,Code Debugging
INT0488,STU007,STU014,Knowledge Sharing,2025-08-19 04:25:59.425965,51,10.0,True,Documentation
INT0489,STU047,STU005,Discussion,2025-07-31 00:48:59.425977,62,6.0,False,Model Selection
INT0490,STU071,STU009,Collaboration,2025-08-09 06:01:59.425988,103,6.2,False,Code Debugging
INT0491,STU066,STU067,Help Request,2025-08-05 09:02:59.426098,88,6.1,True,Documentation
INT0492,STU078,STU037,Knowledge Sharing,2025-08-04 23:52:59.426112,82,6.2,False,Feature Engineering
INT0493,STU064,STU062,Meeting,2025-07-26 14:54:59.426221,105,6.0,False,Hyperparameter Tuning
INT0494,STU004,STU003,Discussion,2025-08-01 03:17:59.426330,93,8.8,False,Project Planning
INT0495,STU046,STU045,Help Request,2025-08-02 00:52:59.426440,116,9.1,True,Results Interpretation
INT0496,STU071,STU069,Discussion,2025-08-02 23:47:59.426549,65,6.1,True,Feature Engineering
INT0497,STU044,STU042,Code Review,2025-08-04 05:38:59.426657,34,5.8,False,Presentation Prep
INT0498,STU060,STU053,Code Review,2025-07-28 17:49:59.426670,87,7.7,False,Presentation Prep
INT0499,STU027,STU026,Discussion,2025-08-20 01:15:59.426791,18,6.2,False,Project Planning
INT0500,STU024,STU021,Discussion,2025-07-28 00:23:59.426897,55,7.9,True,Results Interpretation
